,Data,Godzina,Sezon,Gospodarze,Gole_gospodarze,Gole_goście,Goście,Oddsy_gospodarze,Oddsy_remis,Oddsy_goście,Kto_wygrał,Punkty_Gospodarze,Zwycięstwa_Gospodarze,Remisy_Gospodarze,Porażki_Gospodarze,Gole_zdobyte_Gospodarze,Gole_stracone_Gospodarze,Avg._posiadanie_Gospodarze,Avg.strzały_Gospodarze,Avg.strzały_celne_Gospodarze,Avg.strzały_niecelne_Gospodarze,Avg.strzały_zablokowane_Gospodarze,Avg.rzuty_rożne_Gospodarze,Avg.spalone_Gospodarze,Avg.obrony_bramkarza_Gospodarze,Avg.faule_Gospodarze,Avg.Żółte_kartki_Gospodarze,Avg.Czerwone_kartki_Gospodarze,%_SFG_Gospodarze,Punkty_Goście,Zwycięstwa_Goście,Remisy_Goście,Porażki_Goście,Gole_zdobyte_Goście,Gole_stracone_Goście,Avg._posiadanie_Goście,Avg.strzały_Goście,Avg.strzały_celne_Goście,Avg.strzały_niecelne_Goście,Avg.strzały_zablokowane_Goście,Avg.rzuty_rożne_Goście,Avg.spalone_Goście,Avg.obrony_bramkarza_Goście,Avg.faule_Goście,Avg.Żółte_kartki_Goście,Avg.Czerwone_kartki_Goście,%_SFG_Goście
925,21 Maj 2022,17:30,21/22,Wisła Płock,3,0,Stal Mielec,2.04,3.71,3.55,Wygrali gospodarze,33.0,8.0,9.0,13.0,37.0,44.0,51.0,10.5,4.07,4.2,2.23,4.83,1.3,2.63,15.77,2.03,0.03,48.65,29.0,6.0,11.0,13.0,31.0,47.0,45.0,11.9,4.53,4.57,2.8,4.77,1.5,3.3,13.07,2.13,0.07,51.61
926,15 Maj 2022,17:30,21/22,Radomiak Radom,4,2,Wisła Kraków,3.51,3.5,2.13,Wygrali gospodarze,37.864,9.364,9.773,15.682,40.227,55.0,46.864,12.039,3.922,5.003,3.116,4.754,1.612,3.391,14.68,2.197,0.1,38.394,33.0,8.0,9.0,13.0,39.0,42.0,50.0,12.8,4.2,5.2,3.4,6.13,2.0,3.53,15.2,2.67,0.03,35.9
927,15 Maj 2022,15:00,21/22,Górnik Zabrze,4,2,Górnik Łęczna,1.42,4.96,7.64,Wygrali gospodarze,37.0,10.0,7.0,13.0,31.0,33.0,51.0,14.1,4.8,5.27,4.03,5.63,1.27,2.8,14.17,2.17,0.0,35.48,37.864,9.364,9.773,15.682,40.227,55.0,46.864,12.039,3.922,5.003,3.116,4.754,1.612,3.391,14.68,2.197,0.1,38.394
928,15 Maj 2022,12:30,21/22,Stal Mielec,1,1,Śląsk Wrocław,2.9,3.24,2.62,Remis,29.0,6.0,11.0,13.0,31.0,47.0,45.0,11.9,4.53,4.57,2.8,4.77,1.5,3.3,13.07,2.13,0.07,51.61,43.0,11.0,10.0,9.0,36.0,32.0,47.0,12.07,4.13,5.2,2.73,4.6,1.53,3.37,15.33,1.83,0.1,41.67
929,14 Maj 2022,20:00,21/22,Lechia Gdańsk,0,0,Pogoń Szczecin,3.24,3.53,2.26,Remis,42.0,12.0,6.0,12.0,40.0,37.0,50.0,13.07,4.03,5.3,3.73,5.47,1.83,3.73,16.03,2.73,0.17,47.5,52.0,15.0,7.0,8.0,36.0,23.0,55.0,12.93,4.5,5.2,3.23,6.2,2.1,2.47,13.7,2.07,0.07,44.44
930,14 Maj 2022,17:30,21/22,Zagłębie Lubin,1,0,Raków Częstochowa,4.36,3.83,1.82,Wygrali gospodarze,41.0,11.0,8.0,11.0,38.0,40.0,51.0,11.87,3.97,5.03,2.87,4.9,1.9,3.37,13.27,2.13,0.1,55.26,59.0,17.0,8.0,5.0,46.0,25.0,47.0,13.1,5.03,5.03,3.03,5.97,1.57,2.53,14.77,1.93,0.07,45.65
931,14 Maj 2022,15:00,21/22,Warta Poznań,1,2,Lech Poznań,8.61,4.87,1.39,Wygrali goście,43.0,13.0,4.0,13.0,33.0,32.0,44.0,10.07,3.13,4.37,2.57,4.53,1.6,2.77,13.9,1.47,0.07,21.21,37.0,9.0,10.0,11.0,39.0,38.0,59.0,15.6,4.97,5.83,4.8,6.67,1.5,3.13,13.37,1.77,0.0,35.9
932,14 Maj 2022,12:30,21/22,Termalica Bruk-Bet Nieciecza,0,1,Piast Gliwice,2.59,3.31,2.89,Wygrali goście,37.864,9.364,9.773,15.682,40.227,55.0,46.864,12.039,3.922,5.003,3.116,4.754,1.612,3.391,14.68,2.197,0.1,38.394,42.0,11.0,9.0,10.0,39.0,32.0,51.0,13.13,4.37,5.57,3.2,4.5,1.83,3.13,12.7,1.8,0.0,30.77
933,13 Maj 2022,20:30,21/22,Jagiellonia,2,2,Legia Warszawa,3.02,3.21,2.57,Remis,37.0,10.0,7.0,13.0,39.0,48.0,48.0,11.53,4.2,4.57,2.77,4.37,1.63,3.73,14.9,2.33,0.17,30.77,64.0,19.0,7.0,4.0,48.0,24.0,58.0,15.33,5.23,6.0,4.1,6.13,1.57,2.3,14.07,1.83,0.03,25.0
934,13 Maj 2022,18:00,21/22,Cracovia,3,0,Wisła Płock,1.89,3.68,4.24,Wygrali gospodarze,32.0,8.0,13.0,9.0,28.0,32.0,48.0,12.03,3.63,4.67,3.73,4.37,1.67,3.43,15.8,2.5,0.17,50.0,33.0,8.0,9.0,13.0,37.0,44.0,51.0,10.5,4.07,4.2,2.23,4.83,1.3,2.63,15.77,2.03,0.03,48.65
935,09 Maj 2022,18:00,21/22,Górnik Łęczna,1,1,Termalica Bruk-Bet Nieciecza,3.27,3.37,2.33,Remis,37.864,9.364,9.773,15.682,40.227,55.0,46.864,12.039,3.922,5.003,3.116,4.754,1.612,3.391,14.68,2.197,0.1,38.394,37.864,9.364,9.773,15.682,40.227,55.0,46.864,12.039,3.922,5.003,3.116,4.754,1.612,3.391,14.68,2.197,0.1,38.394
936,08 Maj 2022,17:30,21/22,Piast Gliwice,1,2,Lech Poznań,5.02,3.65,1.77,Wygrali goście,42.0,11.0,9.0,10.0,39.0,32.0,51.0,13.13,4.37,5.57,3.2,4.5,1.83,3.13,12.7,1.8,0.0,30.77,37.0,9.0,10.0,11.0,39.0,38.0,59.0,15.6,4.97,5.83,4.8,6.67,1.5,3.13,13.37,1.77,0.0,35.9
937,08 Maj 2022,15:00,21/22,Raków Częstochowa,1,1,Cracovia,1.41,4.69,8.6,Remis,59.0,17.0,8.0,5.0,46.0,25.0,47.0,13.1,5.03,5.03,3.03,5.97,1.57,2.53,14.77,1.93,0.07,45.65,32.0,8.0,13.0,9.0,28.0,32.0,48.0,12.03,3.63,4.67,3.73,4.37,1.67,3.43,15.8,2.5,0.17,50.0
938,08 Maj 2022,12:30,21/22,Lechia Gdańsk,3,2,Stal Mielec,1.66,3.99,5.23,Wygrali gospodarze,42.0,12.0,6.0,12.0,40.0,37.0,50.0,13.07,4.03,5.3,3.73,5.47,1.83,3.73,16.03,2.73,0.17,47.5,29.0,6.0,11.0,13.0,31.0,47.0,45.0,11.9,4.53,4.57,2.8,4.77,1.5,3.3,13.07,2.13,0.07,51.61
939,07 Maj 2022,20:00,21/22,Wisła Kraków,0,0,Jagiellonia,2.16,3.56,3.39,Remis,33.0,8.0,9.0,13.0,39.0,42.0,50.0,12.8,4.2,5.2,3.4,6.13,2.0,3.53,15.2,2.67,0.03,35.9,37.0,10.0,7.0,13.0,39.0,48.0,48.0,11.53,4.2,4.57,2.77,4.37,1.63,3.73,14.9,2.33,0.17,30.77
