,Data,Godzina,Sezon,Gospodarze,Gole_gospodarze,Gole_goście,Goście,Oddsy_gospodarze,Oddsy_remis,Oddsy_goście,Kto_wygrał
213,05 Paź 2024,17:30,24/25,Górnik Zabrze,0,1,Zagłębie Lubin,2.09,3.46,3.46,Wygrali goście
214,05 Paź 2024,14:45,24/25,Radomiak Radom,0,2,Raków Częstochowa,3.79,3.4,2.03,Wygrali goście
215,05 Paź 2024,12:15,24/25,Stal Mielec,2,1,Lechia Gdańsk,2.1,3.39,3.51,Wygrali gospodarze
216,04 Paź 2024,20:30,24/25,Widzew Łódź,0,1,Korona Kielce,1.95,3.46,4.06,Wygrali goście
217,04 Paź 2024,18:00,24/25,Puszcza Niepołomice,0,6,GKS Katowice,2.99,3.21,2.44,Wygrali goście
218,30 Wrz 2024,19:00,24/25,Cracovia,1,1,Stal Mielec,1.71,3.72,4.98,Remis
219,29 Wrz 2024,17:30,24/25,Piast Gliwice,0,1,Jagiellonia Białystok,1.83,3.61,4.34,Wygrali goście
220,29 Wrz 2024,14:45,24/25,Korona Kielce,2,3,Lech Poznań,3.82,3.44,1.99,Wygrali goście
221,29 Wrz 2024,12:15,24/25,Zagłębie Lubin,1,0,Radomiak Radom,2.36,3.37,2.96,Wygrali gospodarze
222,28 Wrz 2024,20:15,24/25,Legia Warszawa,1,1,Górnik Zabrze,1.72,3.77,4.87,Remis
223,28 Wrz 2024,17:30,24/25,Motor Lublin,2,1,Śląsk Wrocław,2.64,3.24,2.73,Wygrali gospodarze
224,28 Wrz 2024,14:45,24/25,Raków Częstochowa,2,0,Puszcza Niepołomice,1.38,4.64,8.75,Wygrali gospodarze
225,27 Wrz 2024,20:30,24/25,Lechia Gdańsk,1,1,Widzew Łódź,2.75,3.69,2.42,Remis
226,27 Wrz 2024,18:00,24/25,GKS Katowice,3,1,Pogoń Szczecin,3.09,3.51,2.24,Wygrali gospodarze
227,25 Wrz 2024,19:00,24/25,Motor Lublin,0,2,Jagiellonia Białystok,2.56,3.53,2.66,Wygrali goście
228,22 Wrz 2024,17:30,24/25,Lech Poznań,1,0,Śląsk Wrocław,1.63,3.9,5.49,Wygrali gospodarze
229,22 Wrz 2024,14:45,24/25,Raków Częstochowa,5,1,Zagłębie Lubin,1.53,4.13,6.31,Wygrali gospodarze
230,22 Wrz 2024,12:15,24/25,Stal Mielec,1,0,Motor Lublin,2.49,3.17,2.99,Wygrali gospodarze
231,21 Wrz 2024,20:15,24/25,Górnik Zabrze,3,0,GKS Katowice,2.5,3.3,2.86,Wygrali gospodarze
232,21 Wrz 2024,17:30,24/25,Widzew Łódź,1,0,Piast Gliwice,2.9,3.09,2.6,Wygrali gospodarze
233,21 Wrz 2024,14:45,24/25,Jagiellonia Białystok,3,2,Lechia Gdańsk,1.8,4.03,4,Wygrali gospodarze
234,21 Wrz 2024,12:15,24/25,Puszcza Niepołomice,1,2,Cracovia,3.42,3.4,2.12,Wygrali goście
235,20 Wrz 2024,20:30,24/25,Pogoń Szczecin,1,0,Legia Warszawa,2.45,3.39,2.91,Wygrali gospodarze
236,20 Wrz 2024,18:00,24/25,Radomiak Radom,4,0,Korona Kielce,2.39,3.24,3.06,Wygrali gospodarze
237,15 Wrz 2024,17:30,24/25,Legia Warszawa,0,1,Raków Częstochowa,2.3,3.21,3.25,Wygrali goście
238,15 Wrz 2024,14:45,24/25,Korona Kielce,2,0,Zagłębie Lubin,2.36,3.2,3.15,Wygrali gospodarze
239,15 Wrz 2024,12:15,24/25,Piast Gliwice,1,1,Puszcza Niepołomice,1.57,3.83,6.46,Remis
240,14 Wrz 2024,20:15,24/25,Lech Poznań,5,0,Jagiellonia Białystok,1.74,4.04,4.4,Wygrali gospodarze
241,14 Wrz 2024,17:30,24/25,Cracovia,2,1,Pogoń Szczecin,2.74,3.51,2.47,Wygrali gospodarze
242,14 Wrz 2024,14:45,24/25,Lechia Gdańsk,1,0,Radomiak Radom,2.58,3.44,2.65,Wygrali gospodarze
243,13 Wrz 2024,20:30,24/25,GKS Katowice,2,2,Widzew Łódź,2.33,3.41,3.07,Remis
244,13 Wrz 2024,18:00,24/25,Motor Lublin,1,0,Górnik Zabrze,2.4,3.35,2.99,Wygrali gospodarze
245,01 Wrz 2024,20:15,24/25,Jagiellonia Białystok,1,0,Widzew Łódź,1.84,3.87,3.96,Wygrali gospodarze
246,01 Wrz 2024,17:30,24/25,Pogoń Szczecin,5,3,Śląsk Wrocław,1.96,3.7,3.65,Wygrali gospodarze
247,01 Wrz 2024,14:45,24/25,Legia Warszawa,5,2,Motor Lublin,1.58,4.05,5.74,Wygrali gospodarze
248,01 Wrz 2024,12:15,24/25,Górnik Zabrze,2,3,Lechia Gdańsk,1.9,3.76,3.82,Wygrali goście
249,31 Sie 2024,20:15,24/25,Radomiak Radom,2,1,Cracovia,2.39,3.34,2.98,Wygrali gospodarze
250,31 Sie 2024,17:30,24/25,Zagłębie Lubin,1,0,GKS Katowice,2.17,3.39,3.36,Wygrali gospodarze
251,31 Sie 2024,14:45,24/25,Puszcza Niepołomice,0,0,Korona Kielce,2.66,3.12,2.81,Remis
252,30 Sie 2024,20:30,24/25,Stal Mielec,0,2,Lech Poznań,4.1,3.55,1.9,Wygrali goście
253,30 Sie 2024,18:00,24/25,Raków Częstochowa,0,1,Piast Gliwice,2,3.16,4.21,Wygrali goście
254,26 Sie 2024,19:00,24/25,Korona Kielce,2,1,Stal Mielec,1.99,3.36,3.98,Wygrali gospodarze
255,25 Sie 2024,20:15,24/25,Śląsk Wrocław,1,1,Legia Warszawa,3.14,3.24,2.39,Remis
256,25 Sie 2024,17:30,24/25,Lech Poznań,2,0,Pogoń Szczecin,2.41,3.51,2.86,Wygrali gospodarze
257,25 Sie 2024,14:45,24/25,GKS Katowice,3,1,Jagiellonia Białystok,2.81,3.49,2.44,Wygrali gospodarze
258,24 Sie 2024,20:15,24/25,Piast Gliwice,1,0,Zagłębie Lubin,1.79,3.53,4.77,Wygrali gospodarze
259,24 Sie 2024,17:30,24/25,Cracovia,3,2,Górnik Zabrze,2.24,3.33,3.26,Wygrali gospodarze
260,24 Sie 2024,14:45,24/25,Motor Lublin,0,0,Puszcza Niepołomice,2.18,3.28,3.43,Remis
261,23 Sie 2024,20:30,24/25,Lechia Gdańsk,1,2,Raków Częstochowa,4.51,4.06,1.72,Wygrali goście
262,23 Sie 2024,18:00,24/25,Widzew Łódź,3,2,Radomiak Radom,2.22,3.58,3.2,Wygrali gospodarze
263,19 Sie 2024,19:00,24/25,Stal Mielec,2,0,Piast Gliwice,4.51,3.21,1.93,Wygrali gospodarze
264,18 Sie 2024,20:15,24/25,Górnik Zabrze,0,0,Raków Częstochowa,3.57,3.46,2.07,Remis
265,18 Sie 2024,17:30,24/25,Legia Warszawa,4,1,Radomiak Radom,1.67,3.95,5.05,Wygrali gospodarze
266,18 Sie 2024,14:45,24/25,Śląsk Wrocław,1,1,Korona Kielce,1.94,3.29,4.34,Remis
267,17 Sie 2024,20:15,24/25,Pogoń Szczecin,2,0,Widzew Łódź,1.65,4.14,4.91,Wygrali gospodarze
268,17 Sie 2024,17:30,24/25,Zagłębie Lubin,0,1,Lech Poznań,3.21,3.52,2.19,Wygrali goście
269,17 Sie 2024,14:45,24/25,Jagiellonia Białystok,2,4,Cracovia,1.84,3.59,4.32,Wygrali goście
270,16 Sie 2024,20:30,24/25,GKS Katowice,0,0,Motor Lublin,1.82,3.78,4.26,Remis
